H1,H2,H3,Syntax,Description,Doc,Method,Endpoint
Policy Data Plane,Policystore,Readmetadatapolicy,pvw policystore readMetadataPolicy (--collectionName=<val> | --policyId=<val>),Retrieve policy.,https://docs.microsoft.com/en-us/rest/api/purview/policystore/readmetadatapolicy,GET,https://{accountName}.purview.azure.com/policystore/api/readMetadataPolicy
Policy Data Plane,Policystore,Readmetadataroles,pvw policystore readMetadataRoles,Retrieve policy.,https://docs.microsoft.com/en-us/rest/api/purview/policystore/readmetadataroles,GET,https://{accountName}.purview.azure.com/policystore/api/readMetadataRoles
Catalog Data Plane,Relationship,Create,pvw relationship create --payloadFile=<val>,Create a new relationship.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/relationship/create,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/relationship/create
Catalog Data Plane,Relationship,Delete,pvw relationship delete --guid=<val>,Delete relationship.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/relationship/delete,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/relationship/delete
Catalog Data Plane,Relationship,Put,pvw relationship put --payloadFile=<val>,Create or update relationship.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/relationship/put,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/relationship/put
Catalog Data Plane,Relationship,Read,pvw relationship read --guid=<val> [--extendedInfo],Retrieve relationship.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/relationship/read,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/relationship/read
Scanning Data Plane,Scan,Cancelscan,pvw scan cancelScan --dataSourceName=<val> --scanName=<val> --runId=<val>,Cancel data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/cancelscan,POST,https://{accountName}.purview.azure.com/scan/api/cancelScan
Scanning Data Plane,Scan,Deleteclassificationrule,pvw scan deleteClassificationRule --classificationRuleName=<val>,Delete data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/deleteclassificationrule,DELETE,https://{accountName}.purview.azure.com/scan/api/deleteClassificationRule
Scanning Data Plane,Scan,Deletecredential,pvw scan deleteCredential --credentialName=<val>,Delete data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/deletecredential,DELETE,https://{accountName}.purview.azure.com/scan/api/deleteCredential
Scanning Data Plane,Scan,Deletedatasource,pvw scan deleteDataSource --dataSourceName=<val>,Delete data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/deletedatasource,DELETE,https://{accountName}.purview.azure.com/scan/api/deleteDataSource
Scanning Data Plane,Scan,Deletekeyvault,pvw scan deleteKeyVault --keyVaultName=<val>,Delete data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/deletekeyvault,DELETE,https://{accountName}.purview.azure.com/scan/api/deleteKeyVault
Scanning Data Plane,Scan,Deletescan,pvw scan deleteScan --dataSourceName=<val> --scanName=<val>,Delete data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/deletescan,DELETE,https://{accountName}.purview.azure.com/scan/api/deleteScan
